,id,name,genre,start_date,rating,votes,n_episodes,runtime1,runtime2,user_reviews,critic_reviews,cast
0,tt0944947,Game of Thrones,Adventure,2011,9.5,"1,212,353",73,57min,57,919,241,"Alan Taylor, David Nutter, Alex Graves, Mark Mylod, Jeremy Podeswa, Daniel Minahan, Alik Sakharov, Michelle MacLaren, Miguel Sapochnik, Brian Kirk"
1,tt0903747,Breaking Bad,Crime,2008,9.5,"1,010,045",62,49min,49,956,174,"Michelle MacLaren, Adam Bernstein, Vince Gilligan, Colin Bucksey, Michael Slovis, Bryan Cranston, Terry McDonough, Johan Renck, Rian Johnson, Scott Winant"
2,tt1520211,The Walking Dead,Drama,2010,8.5,"705,001",115,44min,44,934,258,"Greg Nicotero, Ernest R. Dickerson, Michael E. Satrazemis, David Boyd, Guy Ferland, Billy Gierhart, Michelle MacLaren, Tricia Brock, Seith Mann, Jeffrey F. January"
3,tt1475582,Sherlock,Crime,2010,9.2,"595,233",15,1h,1,455,109,"Paul McGuigan, Nick Hurran, Coky Giedroyc, Euros Lyn, Toby Haynes, Jeremy Lovering, Colm McCarthy, Douglas Mackinnon, Benjamin Caron, Rachel Talalay"
4,tt0898266,The Big Bang Theory,Comedy,2007,8.3,"574,644",280,22min,22,447,113,"Mark Cendrowski, Anthony Rich, Peter Chakos, Nicole Lorre, James Burrows, Howard Murray, Ted Wass, Andrew D. Weyman, Joel Murray, Gay Linvill"
5,tt0108778,Friends,Comedy,1994,8.9,"545,170",236,22min,22,846,88,"Gary Halvorson, Kevin Bright, Michael Lembeck, James Burrows, Gail Mancuso, Peter Bonerz, David Schwimmer, Ben Weiss, Robby Benson, Shelley Jensen"
6,tt0773262,Dexter,Crime,2006,8.8,"541,101",96,53min,53,508,232,"John Dahl, Steve Shill, Keith Gordon, Marcos Siega, Ernest R. Dickerson, Romeo Tirone, Michael Cuesta, Tony Goldwyn, S.J. Clarkson, Stefan Schwartz"
7,tt0460649,How I Met Your Mother,Comedy,2005,8.4,"487,969",208,22min,22,396,53,"Pamela Fryman, Rob Greenberg, Michael J. Shea, Neil Patrick Harris, Carter Bays, Craig Thomas, Matt Kuhn, Craig Gerard, Matthew Zinman, Robia Rashid"
8,tt0411008,Lost,Adventure,2004,8.4,"413,429",118,44min,44,744,116,"Jack Bender, Stephen Williams, Paul A. Edwards, Tucker Gates, Eric Laneuville, Greg Yaitanes, Bobby Roth, Kevin Hooks, J.J. Abrams, Daniel Attias"
9,tt0455275,Prison Break,Action,2005,8.4,"389,621",90,44min,44,614,63,"Bobby Roth, Kevin Hooks, Dwight H. Little, Nelson McCormick, Karen Gaviola, Michael Switzer, Guy Ferland, Greg Yaitanes, Vincent Misiano, Milan Cheylov"
